document_id,title,cluster_id,similarity
doc_eff7300cab25e179,AI Agent use cases-StackAI,-1,0.0
doc_3271b838884c11b9,Theuns et al 2023 Democratic Inputs to AI,-1,0.0
doc_82f0317863f0719a,Something has gone terribly wrong :(,-1,0.0
doc_86fec5e161276d52,Anthropic 2025 Biology of a LLM,-1,0.0
Willison___2025__The_year_in_L_6d070f0c,_ The year in LLMs,11,0.657455375648363
Hadgi_et_al__2025__Escaping_Pl_c04991f2,Escaping Platos Cave - 3D and Text Latent Spaces,11,0.5631482560266879
Hu___2025___Dialectics_for_Art_1d47a6a6,- Dialectics for Artificial Intelligence,7,0.614732323511697
Yoon_et_al__2025__Escaping_Pla_ce3c1b7b,Escaping Platos Cave - JAM for Aligning Vision and Language,3,0.6134403836350392
Huh_et_al__2024__The_Platonic__fa9b7cc9,The Platonic Representation Hypothesis,7,0.6300615569071966
Zaman___Srivastava___2025___Is_db996f5a,- Is Chain-of-Thought Really Not Explainability? Chain-of-Thought Can Be Faithful without Hint Verbalization,24,0.7850223500620213
Baldelli_et_al___2026___LLMs_C_3280c1e4,- LLMs Can't Play Hangman: On the Necessity of a Private Working Memory for Language Agents,21,0.7407092590915909
Jha_et_al__2025__Harnessing_th_965b558d,Harnessing the Universal Geometry of Embeddings,11,0.5531860668675312
Manus_AI___2025___Manus_Joins__64abc795,- Manus Joins Meta for Next Era of Innovation,0,0.4959670685549131
Ziyin_et_al__2025__Neural_Ther_5cd0477a,Neural Thermodynamics - Entropic Forces in Deep Representation Learning,3,0.5683733675899123
Betley_et_al___2026___Training_09ae541f,- Training large language models on narrow tasks can lead to broad misalignment,9,0.8008975650464059
Sun_et_al___2025___Sophia__A_P_049f1790,- Sophia: A Persistent Agent Framework of Artificial Life,0,0.6844790941086516
Ackermann___Emanuilov___2026___43e48eb8,- Incentives or Ontology? A Structural Rebuttal  to OpenAI’s Hallucination Thesis,21,0.7330493956605605
Cemri_et_al___2025___Why_Do_Mu_1b9e317a,- Why Do Multi-Agent LLM Systems Fail?,0,0.6707747952083194
Thomas__2025__Towards_Error_Ce_01e8de88,Towards Error Centric Intelligence - Beyond Observational Learning,7,0.6923321412467447
Appel_et_al___2026___The_Anthr_45627457,- The Anthropic Economic Index report- Economic Primitives,20,0.6376290564620798
Chen_et_al___2025___Distilling_f672fcfb,- Distilling the Essence - Efficient Reasoning Distillation via Sequence Truncation,3,0.698366221690129
Chen_et_al___2026___MemRec__Co_8875c0b9,- MemRec: Collaborative Memory-Augmented Agentic Recommender System,25,0.6863185564381611
Cunningham_et_al___2026___Cons_ba8ec657,- Constitutional Classifiers++: Efficient Production-Grade Defenses against Universal Jailbreaks,9,0.666382359045611
Trammell___Patel___2025___Capi_2dfd6286,- Capital in the 22nd Century,12,0.6430060694885328
Demystifying_evals_for_AI_agen_cecc2509,Demystifying evals for AI agents _ Anthropic,0,0.7139030083431863
Vitalik___2025___Balance_of_po_a5a9178c,- Balance of power,26,0.6233787721204831
Tyagi_et_al___2026___Global_Co_8c61920d,- Global CoT Analysis_ Initial attempts to uncover patterns across many chains of thought — LessWrong,24,0.7421972120718558
When_ChatGPT_Broke_an_Entire_F_2404e531,When ChatGPT Broke an Entire Field_ An Oral History _ Quanta Magazine,10,0.609977660682818
Xie_et_al___2026___mHC__Manifo_d849f470,- mHC: Manifold-Constrained Hyper-Connections,24,0.4813188799216238
Yuksekgonul_et_al___2026___Lea_d2a0cc01,- Learning to Discover at Test Time,11,0.6573720446179052
Zhang_et_al___2025___Recursive_7f0e822f,- Recursive Language Models,3,0.7330430245738329
claudes_constitution_Jan2026_09e4039b,claudes-constitution_Jan2026,1,0.46555396051236553
