document_id,title,score,kept_id
doc_0237435f8c4bda15,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,8,doc_5ca8b2fb54dd2633
doc_7999729b04fd3854,Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs,8,doc_5ca8b2fb54dd2633
Betley_et_al__2025__Emergent_M_7999729b,Emergent Misalignment - Narrow finetuning can produce broadly misaligned LLMs,4,doc_5ca8b2fb54dd2633
doc_3647740ea075ad8b,"AGI, Governments, and Free Societies",8,doc_512f9c94ebbd0478
Bullock_et_al__2025__AGI__Gove_3647740e,"AGI, Governments, and Free Societies",4,doc_512f9c94ebbd0478
doc_f8a0041cd184bea5,An Approach to Technical AGI Safety and Security,8,doc_df07271eead6a248
doc_94fd8a958436e1bf,An Approach to Technical AGI Safety and Security,8,doc_df07271eead6a248
Aschenbrenner__2024__Situation_68735f1b,Situational Awareness - The Decade Ahead,4,doc_68735f1b5a3d30fb
Aschenbrenner_2024_Situational_68735f1b,Situational Awareness_ The Decade Ahead,4,doc_68735f1b5a3d30fb
Gunjal_et_al___2025___Rubrics__69c8e594,- Rubrics as Rewards - Reinforcement Learning Beyond Verifiable Domains,4,doc_54232e83598b14e0
Gunjal_et_al____2025___Rubrics_54232e83,- Rubrics as Rewards Reinforcement Learning Beyond Verifiable Domains,4,doc_54232e83598b14e0
doc_1a8762e9f6733785,Multi-Agent Risks from Advanced AI,8,doc_3a8e798a29f77ca4
doc_21d1e8c8468881d5,Multi-Agent Risks from Advanced AI,8,doc_3a8e798a29f77ca4
Sato_et_al___2026___Exploring__bdee725d,- Exploring the Effects of Alignment on Numerical Bias  in Large Language Models,5,Sato_et_al___2026___Exploring__bdee725d
Sato_et_al___2026___Exploring__bdee725d,- Exploring the Effects of Alignment on Numerical Bias in Large Language Models,4,Sato_et_al___2026___Exploring__bdee725d
doc_89dd39bf1a472540,Superintelligence Strategy,8,doc_0a54023108bf9695
doc_3a6197e517f2f3d5,Superintelligence Strategy,8,doc_0a54023108bf9695
Miehling_2025_Agentic_AI_needs_e4047ff6,Agentic AI needs a Systems Theory,4,doc_e4047ff6d3e2e33b
Miehling_et_al__2025__Agentic__e4047ff6,Agentic AI Needs a Systems Theory,4,doc_e4047ff6d3e2e33b
doc_4cbdcf158d58447e,Preparing for the Intelligence Explosion,8,doc_84d43cba87425331
MacAskill_et_al__2025__Prepari_4cbdcf15,Preparing for the Intelligence Explosion,4,doc_84d43cba87425331
Fang_et_al___2026___SafeThinke_2d62f6a0,- SafeThinker: Reasoning about Risk to Deepen Safety  Beyond Shallow Alignment,5,Fang_et_al___2026___SafeThinke_2d62f6a0
Fang_et_al___2026___SafeThinke_2d62f6a0,- SafeThinker - Reasoning about Risk to Deepen Safety Beyond Shallow Alignment,4,Fang_et_al___2026___SafeThinke_2d62f6a0
Peng_et_al___2026___SycoEval_E_30bf5fb4,- SycoEval-EM: Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care,5,Peng_et_al___2026___SycoEval_E_30bf5fb4
Peng_et_al___2026___SycoEval_E_30bf5fb4,- SycoEval-EM - Sycophancy Evaluation of Large Language Models in Simulated Clinical Encounters for Emergency Care,4,Peng_et_al___2026___SycoEval_E_30bf5fb4
Feng_et_al___2026___How_Does_P_c53b7653,- How Does Personalized Memory Shape LLM Behavior? Benchmarking Rational Preference Utilization in Personalized Assistants,5,Feng_et_al___2026___How_Does_P_c53b7653
Feng_et_al___2026___How_Does_P_c53b7653,- How Does Personalized Memory Shape LLM Behavior Benchmarking Rational Preference Utilization in Personalized Assistants,4,Feng_et_al___2026___How_Does_P_c53b7653
Google_DeepMind_2025_Lessons_f_983a784d,Lessons from Defending Gemini Against Indirect Prompt Injections,4,doc_983a784dd2a20883
Shi_et_al__2025__Lessons_from__983a784d,Lessons from Defending Gemini Against Indirect Prompt Injections,4,doc_983a784dd2a20883
Clymer_et_al__2025__Bare_Minim_40fcacd7,Bare Minimum Mitigations for Autonomous AI Development,4,doc_40fcacd786dc2cab
Clymer_et_al_2025_Bare_Minimum_40fcacd7,Bare Minimum Mitigations for AUtonomous AI Development,4,doc_40fcacd786dc2cab
doc_64c3da70d3e25f94,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,8,doc_26558dcb5e814fed
Davidson_et_al__2025__AI_Enabl_64c3da70,AI-Enabled Coups - How a Small Group Could Use AI to Seize Power,4,doc_26558dcb5e814fed
doc_b30cd64b18bb8330,Measuring AI Ability to Complete Long Tasks,8,doc_a630a66414b2e765
Kwa_et_al___2025___Measuring_A_b30cd64b,- Measuring AI Ability to Complete Long Tasks,4,doc_a630a66414b2e765
doc_7bb5f53e4037eb7f,Against willing servitude: Autonomy in the ethics of advanced artificial intelligence,8,doc_612a545f444a8cb8
doc_48f348580cd08477,Against Willing Servitude: Autonomy in the Ethics of Advanced Artificial Intelligence,8,doc_612a545f444a8cb8
Carlsmith__2025__How_do_we_sol_f9197a4a,How do we solve the alignment problem,4,doc_f9197a4ae97b4669
doc_71ecac8f8120030a,AI Assertion,8,doc_1a171fe35bd78114
Betley_et_al__2025__Tell_me_ab_63ed5733,Tell me about yourself - LLMs are aware of their learned behaviors,4,doc_63ed57332c0fab63
Carlsmith__2025__What_is_it_to_eb8b1553,What is it to solve the alignment problem,4,doc_eb8b1553fbe5c337
doc_91c1f86ebe6b61fd,AI Takeover and Human Disempowerment,8,doc_2e652e65b7044f07
Carlsmith__2025__When_should_w_d07eb730,When should we worry about AI power-seeking,4,doc_d07eb730ec8df221
Tomlinson_et_al____2025___Work_912acd40,- Working with AI Measuring the Occupational Implications of Generative AI,4,doc_912acd40d2e1f3a4
Carlsmith__2025__Paths_and_way_9dbe9687,Paths and waystations in AI safety,4,doc_9dbe9687207acd34
doc_c9519c14f56b4901,Let's Think Dot by Dot: Hidden Computation in Transformer Language Models,8,doc_ccdee9e0a1595225
Anthropic__2025__System_Card___2c192534,System Card - Claude Opus 4 & Claude Sonnet 4,4,doc_2c192534d928c61d
Kenton_et_al__2021__Alignment__3fb898e8,Alignment of Language Agents,4,doc_3fb898e8de7e8f9b
doc_393ae16cf555e562,The Political Economy of Attention,8,doc_e62574ed9cb33904
doc_7e92cbcd2b9655cc,ClarifyDelphi: Reinforced Clarification Questions with Defeasibility Rewards for Social and Moral Situations,8,doc_fae0958c2aa37ba1
